filename,file_path,error,avg_heart_rate,max_heart_rate,min_heart_rate,avg_speed_kmh,max_speed_kmh,total_distance_m,total_distance_km,avg_power,max_power,avg_cadence,duration_seconds,duration_minutes,plot_path,csv_path
2025.07.11-ride_34699941.fit,downloads/2025.07.11-ride_34699941.fit,no numeric data to plot,,,,,,,,,,,,,,
2024.10.25-ride_21965331.fit,downloads/2024.10.25-ride_21965331.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.07.19-ride_35306395.fit,downloads/2025.07.19-ride_35306395.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.10.01-ride_40100126.fit,downloads/2025.10.01-ride_40100126.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.10.12-ride_40672596.fit,downloads/2025.10.12-ride_40672596.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.05.21-ride_30981647.fit,downloads/2025.05.21-ride_30981647.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.01.13-ride_24720469.fit,downloads/2025.01.13-ride_24720469.fit,no numeric data to plot,,,,,,,,,,,,,,
2024.10.30-ride_22210803.fit,downloads/2024.10.30-ride_22210803.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.08.03-ride_36316275.fit,downloads/2025.08.03-ride_36316275.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.04.09-ride_28099072.fit,downloads/2025.04.09-ride_28099072.fit,no numeric data to plot,,,,,,,,,,,,,,
2024.11.10-ride_22779288-Outdoor_Cycling.fit,downloads/2024.11.10-ride_22779288-Outdoor_Cycling.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.07.12-ride_34766666.fit,downloads/2025.07.12-ride_34766666.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.08.02-ride_36262108.fit,downloads/2025.08.02-ride_36262108.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.07.10-ride_34633272.fit,downloads/2025.07.10-ride_34633272.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.10.25-ride_41241337.fit,downloads/2025.10.25-ride_41241337.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.04.13-ride_28291440.fit,downloads/2025.04.13-ride_28291440.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.06.04-ride_31992201.fit,downloads/2025.06.04-ride_31992201.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.09.23-ride_39676063.fit,downloads/2025.09.23-ride_39676063.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.04.18-ride_28681351.fit,downloads/2025.04.18-ride_28681351.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.09.29-ride_40019649.fit,downloads/2025.09.29-ride_40019649.fit,no numeric data to plot,,,,,,,,,,,,,,
