timestamp,altitude,cadence,distance,enhanced_altitude,enhanced_speed,heart_rate,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,temperature,speed_kmh
2025-08-07 10:47:26,,,0.0,,1.753,118,,,,384220764,1416302116,,,,1.753,30,6.3107999999999995
2025-08-07 10:47:28,,,1.0,,2.35,117,,,,384220461,1416302206,,,,2.35,30,8.46
2025-08-07 10:47:29,,,1.62,,2.41,117,,,,384220525,1416302188,,,,2.41,30,8.676
2025-08-07 10:47:30,,,3.49,,2.488,117,,,,384220444,1416301971,,,,2.488,30,8.9568
2025-08-07 10:47:31,,,6.44,,3.082,117,,,,384220325,1416301623,,,,3.082,30,11.0952
2025-08-07 10:47:32,,,10.26,,4.306,121,,,,384220216,1416301156,,,,4.306,30,15.5016
2025-08-07 10:47:33,,,15.26,,5.279,121,,,,384220076,1416300542,,,,5.279,30,19.0044
2025-08-07 10:47:34,,,21.42,,6.325,121,,,,384219916,1416299784,,,,6.325,30,22.77
2025-08-07 10:47:35,,,28.42,,6.881,121,,,,384219758,1416298914,,,,6.881,30,24.771600000000003
2025-08-07 10:47:36,,,36.04,,7.31,121,,,,384219635,1416297957,,,,7.31,30,26.316
2025-08-07 10:47:37,,,44.41,,8.107,121,,,,384219528,1416296901,,,,8.107,30,29.1852
2025-08-07 10:47:38,,,53.32,,8.706,121,,,,384219421,1416295776,,,,8.706,30,31.3416
2025-08-07 10:47:39,,,62.65,,9.03,121,,,,384219270,1416294605,,,,9.03,30,32.507999999999996
2025-08-07 10:47:40,,,72.31,,9.642,121,,,,384219108,1416293393,,,,9.642,30,34.7112
2025-08-07 10:47:43,,,101.86,,9.632,126,,,,384218517,1416289705,,,,9.632,30,34.6752
2025-08-07 10:47:44,,,111.92,,9.8,126,,,,384218316,1416288450,,,,9.8,30,35.28
2025-08-07 10:47:46,,,132.0,,10.13,128,,,,384217947,1416285936,,,,10.13,30,36.468
2025-08-07 10:47:47,,,142.26,,10.257,128,,,,384217823,1416284642,,,,10.257,30,36.9252
2025-08-07 10:47:49,,,162.04,,9.586,130,,,,384217575,1416282147,,,,9.586,30,34.5096
2025-08-07 10:47:52,,,189.95,,9.605,137,,,,384216939,1416278683,,,,9.605,30,34.578
2025-08-07 10:47:55,,,218.94,,9.607,140,,,,384216859,1416275003,,,,9.607,30,34.5852
2025-08-07 10:48:01,,,276.23,,9.6,140,,,,384215967,1416267812,,,,9.6,30,34.56
2025-08-07 10:48:04,,,305.81,,10.332,144,,,,384215358,1416264130,,,,10.332,30,37.19520000000001
2025-08-07 10:48:06,,,326.56,,10.442,144,,,,384214994,1416261529,,,,10.442,30,37.5912
2025-08-07 10:48:07,,,337.3,,10.866,151,,,,384214834,1416260178,,,,10.866,30,39.1176
2025-08-07 10:48:13,,,401.53,,10.526,152,,,,384213663,1416252137,,,,10.526,30,37.8936
2025-08-07 10:48:17,,,443.14,,10.415,153,,,,384212743,1416246965,,,,10.415,30,37.494
2025-08-07 10:48:20,,,474.82,,10.832,156,,,,384211801,1416243100,,,,10.832,30,38.995200000000004
2025-08-07 10:48:22,29.399999999999977,,496.51,29.399999999999977,10.656,156,,,,384211035,1416240498,,,,10.656,30,38.3616
2025-08-07 10:48:23,29.399999999999977,,507.21,29.399999999999977,10.472,157,,,,384210637,1416239222,,,,10.472,30,37.6992
2025-08-07 10:48:26,29.399999999999977,,538.33,29.399999999999977,10.238,164,,,,384209528,1416235495,,,,10.238,30,36.8568
2025-08-07 10:48:28,29.399999999999977,,558.53,29.399999999999977,9.973,165,,,,384208941,1416233026,,,,9.973,30,35.902800000000006
2025-08-07 10:48:31,29.200000000000045,,589.01,29.200000000000045,10.288,166,,,,384207941,1416229343,,,,10.288,30,37.0368
2025-08-07 10:48:34,29.0,,619.76,29.0,10.393,168,,,,384206342,1416225932,,,,10.393,30,37.41480000000001
2025-08-07 10:48:36,28.799999999999955,,640.09,28.799999999999955,10.009,168,,,,384205424,1416223602,,,,10.009,30,36.0324
2025-08-07 10:48:39,28.399999999999977,,671.05,28.399999999999977,10.484,170,,,,384204400,1416219863,,,,10.484,30,37.7424
2025-08-07 10:48:41,28.200000000000045,,692.49,28.200000000000045,11.394,170,,,,384203503,1416217355,,,,11.394,30,41.0184
2025-08-07 10:48:49,27.600000000000023,,778.92,27.600000000000023,10.801,170,,,,384199379,1416207522,,,,10.801,30,38.8836
2025-08-07 10:48:53,27.399999999999977,,821.25,27.399999999999977,10.731,171,,,,384197031,1416202919,,,,10.731,30,38.6316
2025-08-07 10:48:56,27.399999999999977,,853.17,27.399999999999977,10.101,171,,,,384195396,1416199358,,,,10.101,30,36.363600000000005
2025-08-07 10:48:58,27.200000000000045,,871.95,27.200000000000045,8.445,171,,,,384194307,1416197350,,,,8.445,30,30.402
2025-08-07 10:48:59,27.0,,878.61,27.0,5.099,171,,,,384194065,1416196554,,,,5.099,30,18.3564
2025-08-07 10:49:00,26.600000000000023,,883.08,26.600000000000023,4.077,171,,,,384194102,1416195987,,,,4.077,30,14.677200000000001
2025-08-07 10:49:02,26.399999999999977,,894.38,26.399999999999977,7.108,171,,,,384195253,1416195610,,,,7.108,30,25.5888
