timestamp,altitude,cadence,distance,enhanced_altitude,enhanced_speed,heart_rate,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,temperature,speed_kmh
2025-07-21 10:40:43,,,0.0,,8.55,173,,,,380926853,1418086127,,,,8.55,30,30.780000000000005
2025-07-21 10:40:44,,,0.0,,8.502,173,,,,380925906,1418086291,,,,8.502,30,30.607200000000002
2025-07-21 10:40:48,,,34.91,,8.176,172,,,,380922187,1418086878,,,,8.176,30,29.433600000000002
2025-07-21 10:40:54,,,86.36,,8.452,171,,,,380916690,1418087577,,,,8.452,30,30.4272
2025-07-21 10:40:55,,,95.29,,8.592,171,,,,380915735,1418087702,,,,8.592,30,30.931200000000004
2025-07-21 10:41:01,,,146.95,,8.086,172,,,,380910213,1418088304,,,,8.086,30,29.1096
2025-07-21 10:41:09,,,213.85,,8.085,172,,,,380903105,1418089560,,,,8.085,30,29.106000000000005
2025-07-21 10:41:13,,,246.17,,7.542,170,,,,380899648,1418089959,,,,7.542,30,27.1512
2025-07-21 10:41:16,,,267.72,,6.919,169,,,,380897339,1418089957,,,,6.919,30,24.9084
2025-07-21 10:41:18,,,281.09,,6.636,168,,,,380896001,1418089343,,,,6.636,30,23.8896
2025-07-21 10:41:22,,,300.49,,3.538,167,,,,380893972,1418089019,,,,3.538,30,12.736799999999999
2025-07-21 10:41:23,,,303.6,,3.14,166,,,,380893678,1418089207,,,,3.14,30,11.304
2025-07-21 10:41:26,,,314.12,,4.124,165,,,,380893115,1418090347,,,,4.124,30,14.8464
2025-07-21 10:41:27,,,318.58,,5.016,164,,,,380892752,1418090717,,,,5.016,30,18.0576
2025-07-21 10:41:31,19.0,,342.54,19.0,5.971,164,,,,380890347,1418091765,,,,5.971,30,21.4956
2025-07-21 10:41:36,19.600000000000023,,373.82,19.600000000000023,5.963,164,,,,380887326,1418093449,,,,5.963,30,21.4668
2025-07-21 10:41:38,19.600000000000023,,385.58,19.600000000000023,5.609,163,,,,380886291,1418094302,,,,5.609,30,20.1924
2025-07-21 10:41:39,19.799999999999955,,390.99,19.799999999999955,5.119,162,,,,380885789,1418094648,,,,5.119,30,18.4284
2025-07-21 10:41:40,19.600000000000023,,395.84,19.600000000000023,4.501,160,,,,380885339,1418094960,,,,4.501,30,16.2036
2025-07-21 10:41:41,19.399999999999977,,399.83,19.399999999999977,3.588,159,,,,380885000,1418095269,,,,3.588,30,12.9168
2025-07-21 10:41:42,19.200000000000045,,402.89,19.200000000000045,2.83,158,,,,380884783,1418095560,,,,2.83,30,10.188
2025-07-21 10:41:44,19.0,,404.89,19.0,0.0,157,,,,380884549,1418095748,,,,0.0,30,0.0
2025-07-21 10:41:47,18.799999999999955,,404.89,18.799999999999955,0.0,157,,,,380884582,1418095560,,,,0.0,30,0.0
2025-07-21 10:42:02,20.0,,410.0,20.0,5.235,151,,,,380884095,1418093554,,,,5.235,30,18.846
2025-07-21 10:42:04,20.200000000000045,,422.48,20.200000000000045,6.459,151,,,,380883298,1418092304,,,,6.459,30,23.252399999999998
2025-07-21 10:42:06,20.0,,436.68,20.0,6.862,151,,,,380881873,1418091692,,,,6.862,30,24.703200000000002
2025-07-21 10:42:11,20.0,,479.52,20.0,8.318,150,,,,380877283,1418091961,,,,8.318,30,29.9448
2025-07-21 10:42:13,20.200000000000045,,497.49,20.200000000000045,8.649,150,,,,380875377,1418092324,,,,8.649,30,31.1364
2025-07-21 10:42:14,20.200000000000045,,506.5,20.200000000000045,8.712,157,,,,380874426,1418092538,,,,8.712,30,31.3632
2025-07-21 10:42:15,20.200000000000045,,515.54,20.200000000000045,8.828,157,,,,380873472,1418092755,,,,8.828,30,31.7808
2025-07-21 10:42:22,20.200000000000045,,577.71,20.200000000000045,8.439,162,,,,380866831,1418093589,,,,8.439,31,30.3804
2025-07-21 10:42:30,19.399999999999977,,645.83,19.399999999999977,8.61,168,,,,380859561,1418094581,,,,8.61,31,30.996
2025-07-21 10:42:32,19.600000000000023,,663.68,19.600000000000023,8.895,168,,,,380857659,1418094877,,,,8.895,31,32.022
2025-07-21 10:42:33,19.600000000000023,,672.79,19.600000000000023,8.934,168,,,,380856688,1418095024,,,,8.934,31,32.1624
2025-07-21 10:42:35,19.600000000000023,,691.17,19.600000000000023,8.99,168,,,,380854726,1418095298,,,,8.99,31,32.364000000000004
2025-07-21 10:42:36,19.600000000000023,,700.43,19.600000000000023,9.078,168,,,,380853737,1418095430,,,,9.078,31,32.6808
2025-07-21 10:42:37,19.600000000000023,,709.77,19.600000000000023,9.186,168,,,,380852740,1418095560,,,,9.186,31,33.0696
2025-07-21 10:42:38,19.799999999999955,,719.16,19.799999999999955,9.221,166,,,,380851738,1418095700,,,,9.221,31,33.1956
2025-07-21 10:42:46,20.0,,791.35,20.0,8.208,170,,,,380844042,1418096851,,,,8.208,31,29.5488
2025-07-21 10:42:52,20.0,,836.17,20.0,7.981,170,,,,380839292,1418097766,,,,7.981,31,28.7316
2025-07-21 10:43:00,19.600000000000023,,905.6,19.600000000000023,8.464,169,,,,380831884,1418098825,,,,8.464,31,30.4704
2025-07-21 10:43:08,18.799999999999955,,976.39,18.799999999999955,9.018,168,,,,380824354,1418100050,,,,9.018,31,32.464800000000004
2025-07-21 10:43:14,19.0,,1032.18,19.0,9.016,168,,,,380818380,1418100591,,,,9.016,31,32.4576
2025-07-21 10:43:22,19.0,,1100.18,19.0,7.666,168,,,,380811136,1418101738,,,,7.666,31,27.597600000000003
2025-07-21 10:43:30,18.399999999999977,,1154.02,18.399999999999977,5.896,161,,,,380805378,1418102379,,,,5.896,31,21.2256
2025-07-21 10:43:38,17.0,,1183.31,17.0,2.419,159,,,,380802266,1418102928,,,,2.419,31,8.708400000000001
2025-07-21 10:43:46,16.799999999999955,,1200.09,16.799999999999955,1.644,153,,,,380800483,1418103245,,,,1.644,31,5.9184
2025-07-21 10:43:49,17.0,,1205.52,17.0,1.812,149,,,,380799902,1418103289,,,,1.812,31,6.5232
2025-07-21 10:43:58,17.399999999999977,,1214.01,17.399999999999977,1.145,151,,,,380798926,1418103003,,,,1.145,31,4.122
2025-07-21 10:44:02,17.600000000000023,,1215.09,17.600000000000023,1.54,151,,,,380798623,1418103088,,,,1.54,31,5.5440000000000005
2025-07-21 10:44:06,18.0,,1221.59,18.0,6.341,149,,,,380796883,1418103901,,,,6.341,31,22.8276
2025-07-21 10:44:08,18.200000000000045,,1237.08,18.200000000000045,7.362,148,,,,380795306,1418104523,,,,7.362,31,26.5032
2025-07-21 10:44:16,19.600000000000023,,1309.98,19.600000000000023,8.712,161,,,,380787665,1418106573,,,,8.712,31,31.3632
2025-07-21 10:44:24,20.200000000000045,,1380.48,20.200000000000045,8.69,172,,,,380780274,1418108545,,,,8.69,31,31.284
2025-07-21 10:44:28,20.399999999999977,,1416.75,20.399999999999977,9.122,174,,,,380776472,1418109559,,,,9.122,31,32.8392
2025-07-21 10:44:36,21.0,,1489.17,21.0,7.937,174,,,,380768906,1418111706,,,,7.937,31,28.5732
2025-07-21 10:44:42,21.200000000000045,,1533.48,21.200000000000045,7.935,175,,,,380764272,1418112982,,,,7.935,31,28.566
2025-07-21 10:44:43,21.200000000000045,,1541.56,21.200000000000045,8.125,176,,,,380763419,1418113174,,,,8.125,31,29.25
2025-07-21 10:44:46,21.399999999999977,,1573.41,21.399999999999977,8.769,177,,,,380760069,1418114002,,,,8.769,31,31.5684
2025-07-21 10:44:51,21.600000000000023,,1615.88,21.600000000000023,8.922,178,,,,380755594,1418115054,,,,8.922,31,32.119200000000006
2025-07-21 10:44:58,21.600000000000023,,1680.34,21.600000000000023,7.436,179,,,,380748848,1418116896,,,,7.436,31,26.7696
2025-07-21 10:45:01,21.799999999999955,,1701.68,21.799999999999955,7.462,180,,,,380746732,1418117833,,,,7.462,31,26.8632
2025-07-21 10:45:02,21.799999999999955,,1708.35,21.799999999999955,7.102,179,,,,380746400,1418118582,,,,7.102,31,25.567200000000003
2025-07-21 10:45:03,21.799999999999955,,1715.52,21.799999999999955,7.226,179,,,,380746325,1418119485,,,,7.226,31,26.0136
2025-07-21 10:45:04,21.799999999999955,,1723.31,21.799999999999955,7.418,180,,,,380746597,1418120418,,,,7.418,31,26.704800000000002
2025-07-21 10:45:06,21.600000000000023,,1740.66,21.600000000000023,7.774,180,,,,380747771,1418122116,,,,7.774,31,27.9864
2025-07-21 10:45:12,21.600000000000023,,1797.24,21.600000000000023,9.333,178,,,,380752523,1418126574,,,,9.333,31,33.598800000000004
2025-07-21 10:45:13,21.600000000000023,,1806.96,21.600000000000023,9.679,178,,,,380753263,1418127444,,,,9.679,31,34.8444
2025-07-21 10:45:14,21.399999999999977,,1816.76,21.399999999999977,9.708,178,,,,380753984,1418128348,,,,9.708,31,34.9488
2025-07-21 10:45:18,21.200000000000045,,1856.01,21.200000000000045,9.75,178,,,,380756590,1418132251,,,,9.75,31,35.1
2025-07-21 10:45:19,21.399999999999977,,1865.87,21.399999999999977,9.835,178,,,,380757177,1418133290,,,,9.835,31,35.406000000000006
2025-07-21 10:45:20,21.200000000000045,,1875.72,21.200000000000045,9.864,178,,,,380757760,1418134330,,,,9.864,31,35.510400000000004
2025-07-21 10:45:28,20.399999999999977,,1952.49,20.399999999999977,9.542,178,,,,380762795,1418142030,,,,9.542,31,34.3512
2025-07-21 10:45:36,21.399999999999977,,2026.32,21.399999999999977,9.061,180,,,,380767449,1418149597,,,,9.061,31,32.6196
2025-07-21 10:45:41,22.200000000000045,,2071.41,22.200000000000045,9.837,181,,,,380770476,1418154057,,,,9.837,31,35.4132
2025-07-21 10:45:42,22.0,,2081.39,22.0,10.182,181,,,,380771155,1418155035,,,,10.182,31,36.6552
2025-07-21 10:45:44,21.799999999999955,,2101.97,21.799999999999955,10.293,182,,,,380772579,1418157030,,,,10.293,31,37.0548
2025-07-21 10:45:45,21.600000000000023,,2112.45,21.600000000000023,10.365,182,,,,380773281,1418158068,,,,10.365,31,37.314
2025-07-21 10:45:49,21.600000000000023,,2153.61,21.600000000000023,9.817,183,,,,380776065,1418162107,,,,9.817,31,35.3412
2025-07-21 10:45:53,21.600000000000023,,2191.2,21.600000000000023,9.166,182,,,,380779425,1418164735,,,,9.166,31,32.997600000000006
2025-07-21 10:45:58,22.200000000000045,,2237.36,22.200000000000045,9.366,183,,,,380783518,1418168030,,,,9.366,31,33.7176
2025-07-21 10:46:01,22.399999999999977,,2265.67,22.399999999999977,9.47,184,,,,380785927,1418170222,,,,9.47,31,34.092000000000006
2025-07-21 10:46:05,22.0,,2302.79,22.0,9.426,183,,,,380789223,1418172854,,,,9.426,31,33.9336
2025-07-21 10:46:11,21.0,,2360.0,21.0,9.67,184,,,,380795014,1418175279,,,,9.67,31,34.812
2025-07-21 10:46:15,21.0,,2400.24,21.0,10.403,185,,,,380799237,1418176380,,,,10.403,31,37.4508
2025-07-21 10:46:16,21.0,,2410.79,21.0,10.511,185,,,,380800343,1418176675,,,,10.511,31,37.8396
2025-07-21 10:46:17,21.0,,2421.49,21.0,10.653,185,,,,380801452,1418177030,,,,10.653,31,38.3508
